"LemmeID"	"Frequence"	"Token"	"POS"	"Lemme"	"Statut"	"Commentaire"	"ASCF"	"ProposedBy"	"CheckedBy"	"LastUpdate"	"ID"	"Validated"
"32728"	"13914"	"commercial"	"ADJ"	"commercial"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"91"	"FALSE"
"32729"	"13781"	"Quatre"	"ADJ"	"quatre"			"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"92"	"FALSE"
"32730"	"13403"	"commun"	"ADJ"	"commun"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"93"	"FALSE"
"32731"	"13311"	"naturel"	"ADJ"	"naturel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"94"	"FALSE"
"32732"	"13251"	"gros"	"ADJ"	"gros"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"95"	"FALSE"
"32733"	"13223"	"industriel"	"ADJ"	"industriel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"96"	"FALSE"
"32734"	"13070"	"permanent"	"ADJ"	"permanent"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"97"	"FALSE"
"32735"	"12815"	"blanc"	"ADJ"	"blanc"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"98"	"FALSE"
"32736"	"12703"	"actuel"	"ADJ"	"actuel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"99"	"FALSE"
"32737"	"12352"	"total"	"ADJ"	"total"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"100"	"FALSE"
"32738"	"12327"	"complet"	"ADJ"	"complet"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"101"	"FALSE"
"32739"	"12155"	"matériel"	"ADJ"	"matériel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"102"	"FALSE"
"32740"	"12137"	"vidéo"	"ADJ"	"vidéo"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"103"	"FALSE"
"32741"	"12050"	"bas"	"ADJ"	"bas"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"104"	"FALSE"
"32742"	"12022"	"mondial"	"ADJ"	"mondial"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"105"	"FALSE"
"32743"	"11977"	"réel"	"ADJ"	"réel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"106"	"FALSE"
"32744"	"11923"	"noir"	"ADJ"	"noir"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"107"	"FALSE"
"32745"	"11897"	"enseignant"	"ADJ"	"enseignant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"108"	"FALSE"
"32746"	"11773"	"physique"	"ADJ"	"physique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"109"	"FALSE"
"32747"	"11682"	"administratif"	"ADJ"	"administratif"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"110"	"FALSE"
"32748"	"11680"	"Or"	"ADJ"	"or"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"111"	"FALSE"
"32749"	"11613"	"animal"	"ADJ"	"animal"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"112"	"FALSE"
"32750"	"11526"	"pédagogique"	"ADJ"	"pédagogique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"113"	"FALSE"
"32751"	"11516"	"fraîche"	"ADJ"	"frais"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"114"	"FALSE"
"32752"	"11361"	"porte"	"ADJ"	"porte"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"115"	"FALSE"
"32753"	"11116"	"essentiel"	"ADJ"	"essentiel"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"116"	"FALSE"
"32754"	"11071"	"difficile"	"ADJ"	"difficile"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"117"	"FALSE"
"32755"	"11068"	"véritable"	"ADJ"	"véritable"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"118"	"FALSE"
"32756"	"11053"	"spécifique"	"ADJ"	"spécifique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"119"	"FALSE"
"32757"	"10979"	"Limite"	"ADJ"	"limite"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"120"	"FALSE"
"32758"	"10920"	"sûr"	"ADJ"	"sûr"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"121"	"FALSE"
"32759"	"10541"	"électronique"	"ADJ"	"électronique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"122"	"FALSE"
"32760"	"10531"	"américain"	"ADJ"	"américain"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"123"	"FALSE"
"32761"	"10520"	"direct"	"ADJ"	"direct"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"124"	"FALSE"
"32762"	"10447"	"gratuit"	"ADJ"	"gratuit"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"125"	"FALSE"
"32763"	"10402"	"quotidien"	"ADJ"	"quotidien"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"126"	"FALSE"
"32764"	"10362"	"proche"	"ADJ"	"proche"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"127"	"FALSE"
"32765"	"10300"	"futur"	"ADJ"	"futur"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"128"	"FALSE"
"32766"	"10297"	"médical"	"ADJ"	"médical"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"129"	"FALSE"
"32767"	"10132"	"unique"	"ADJ"	"unique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"130"	"FALSE"
"32768"	"10048"	"précédent"	"ADJ"	"précédent"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"131"	"FALSE"
"32769"	"9795"	"prêt"	"ADJ"	"prêt"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"132"	"FALSE"
"32770"	"9738"	"historique"	"ADJ"	"historique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"133"	"FALSE"
"32771"	"9712"	"municipal"	"ADJ"	"municipal"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"134"	"FALSE"
"32772"	"9685"	"extérieur"	"ADJ"	"extérieur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"135"	"FALSE"
"32773"	"9572"	"civil"	"ADJ"	"civil"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"136"	"FALSE"
"32774"	"9464"	"numérique"	"ADJ"	"numérique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"137"	"FALSE"
"32775"	"9445"	"officiel"	"ADJ"	"officiel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"138"	"FALSE"
"32776"	"9374"	"vite"	"ADJ"	"vite"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"139"	"FALSE"
"32777"	"9373"	"courant"	"ADJ"	"courant"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"140"	"FALSE"
"32778"	"9303"	"vert"	"ADJ"	"vert"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"141"	"FALSE"
"32779"	"9273"	"montant"	"ADJ"	"montant"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"142"	"FALSE"
"32780"	"9130"	"moteur"	"ADJ"	"moteur"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"143"	"FALSE"
"32781"	"8987"	"territorial"	"ADJ"	"territorial"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"144"	"FALSE"
"32782"	"8987"	"durable"	"ADJ"	"durable"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"145"	"FALSE"
"32783"	"8945"	"anglais"	"ADJ"	"anglais"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"146"	"FALSE"
"32784"	"8894"	"individuel"	"ADJ"	"individuel"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"147"	"FALSE"
"32785"	"8883"	"artiste"	"ADJ"	"artiste"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"148"	"FALSE"
"32786"	"8859"	"actif"	"ADJ"	"actif"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"149"	"FALSE"
"32787"	"8849"	"critique"	"ADJ"	"critique"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"150"	"FALSE"
"32788"	"8841"	"juridique"	"ADJ"	"juridique"	"AN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"151"	"FALSE"
"32789"	"8826"	"Peuple"	"ADJ"	"peuple"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"152"	"FALSE"
"32790"	"8757"	"court"	"ADJ"	"court"	"AV"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"153"	"FALSE"
"32791"	"8691"	"urbain"	"ADJ"	"urbain"	"AVN"		"SUJ:NP"	"FL"		"2013-07-09 16:58:09"	"154"	"FALSE"
