"municipal"	"municipalité"
"musical"	"musicalité"
"mutable"	"mutabilité"
"muet"	"mutité"
"mutuel"	"mutualité"
"mystique"	"mysticité"
"médiocre"	"médiocrité"
"mémorable"	"mémorabilité"
"méridional"	"méridionalité"
"méticuleux"	"méticulosité"
"narratif"	"narrativité"
"nasal"	"nasalité"
"natal"	"natalité"
"national"	"nationalité"
"natif"	"nativité"
"naturel"	"naturalité"
"navigable"	"navigabilité"
"nerveux"	"nervosité"
"neutre"	"neutralité"
"noble"	"nobilité"
"nocif"	"nocivité"
"nordique"	"nordicité"
"normal"	"normalité"
"normatif"	"normativité"
"notable"	"notabilité"
"nubile"	"nubilité"
"nu"	"nudité"
"nuisible"	"nuisibilité"
"nul"	"nullité"
"nuptial"	"nuptialité"
"nutritif"	"nutritivité"
"nébuleux"	"nébulosité"
"négatif"	"négativité"
"négociable"	"négociabilité"
"objectal"	"objectalité"
"objectif"	"objectivité"
"oblatif"	"oblativité"
"oblique"	"obliquité"
"obscure"	"obscurité"
"obscène"	"obscénité"
"observable"	"observabilité"
"obséquieux"	"obséquiosité"
"obèse"	"obésité"
"occasionnel"	"occasionnalité"
"occidental"	"occidentalité"
"oculaire"	"ocularité"
"œcuménique"	"œcuménicité"
"offensif"	"offensivité"
"officiel"	"officialité"
"officieux"	"officiosité"
"opposable"	"opposabilité"
"oral"	"oralité"
"organique"	"organicité"
"original"	"originalité"
"orthogonal"	"orthogonalité"
"ouvrable"	"ouvrabilité"
"ovipare"	"oviparité"
"ovovivipare"	"ovoviviparité"
"oxydable"	"oxydabilité"
"paisible"	"paisibilité"
"palatal"	"palatalité"
"palpable"	"palpabilité"
"parabolique"	"parabolicité"
"parafiscal"	"parafiscalité"
"parcellaire"	"parcellarité"
"pair"	"parité"
"partial"	"partialité"
"particulier"	"particularité"
"passible"	"passibilité"
"passif"	"passivité"
"patrimonial"	"patrimonialité"
"peccable"	"peccabilité"
"perceptible"	"perceptibilité"
"perceptif"	"perceptivité"
"perfectible"	"perfectibilité"
"permissif"	"permissivité"
"permutable"	"permutabilité"
"perméable"	"perméabilité"
"pernicieux"	"perniciosité"
"perpendiculaire"	"perpendicularité"
"perplexe"	"perplexité"
"personnel"	"personnalité"
"perspicace"	"perspicacité"
"perversible"	"perversibilité"
"pervers"	"perversité"
"phénoménal"	"phénoménalité"
"pileux"	"pilosité"
"placide"	"placidité"
"plan"	"planité"
"plan"	"planéité"
"plastique"	"plasticité"
"plausible"	"plausibilité"
"pluriel"	"pluralité"
"pluridimensionnel"	"pluridimensionnalité"
"pluridisciplinaire"	"pluridisciplinarité"
"plurifonctionnel"	"plurifonctionnalité"
"plurivoque"	"plurivocité"
"pluvieux"	"pluviosité"
"pneumatique"	"pneumaticité"
"polarisable"	"polarisabilité"
"polaire"	"polarité"
"polyfonctionnel"	"polyfonctionnalité"
"polytonal"	"polytonalité"
"polyzoïque"	"polyzoïcité"
"ponctuel"	"ponctualité"
"pondérable"	"pondérabilité"
"populaire"	"popularité"
"poreux"	"porosité"
"portable"	"portabilité"
"positif"	"positivité"
"possessif"	"possessivité"
"possible"	"possibilité"
"postérieur"	"postériorité"
"potentiel"	"potentialité"
"praticable"	"praticabilité"
"primaire"	"primarité"
"primipare"	"primiparité"
"primitif"	"primitivité"
"principal"	"principalité"
"probable"	"probabilité"
"probe"	"probité"
"prodigieux"	"prodigiosité"
"productible"	"productibilité"
"productif"	"productivité"
"profitable"	"profitabilité"
"progressif"	"progressivité"
"prolifique"	"prolificité"
"prolixe"	"prolixité"
"proche"	"promiscuité"
"proportionnel"	"proportionnalité"
"proprioceptif"	"proprioceptivité"
"prospère"	"prospérité"
"providentiel"	"providentialité"
