"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
3096	"compter"	22013	"-er"	"compteur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:33:09"	"TRUE"	
3098	"compter"	22013	"-er"	"comptoir"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:33:43"	"TRUE"	
3235	"constituer"	21880	"-er"	"constitution"	"TRUE"	6842	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
784	"arriver"	21297	"-er"	"arrivage"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
782	"arriver"	21297	"-er"	"arrivée"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:15"	"TRUE"	
5177	"développer"	21258	"-er"	"développé"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:52"	"TRUE"	
5174	"développer"	21258	"-er"	"développement"	"TRUE"	38638	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
5173	"développer"	21258	"-er"	"développeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:34:25"	"TRUE"	
2696	"choisir"	21195	"-ir"	"choix"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:35:07"	"TRUE"	
11733	"publier"	20575	"-er"	"publication"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:36:02"	"TRUE"	
11732	"publier"	20575	"-er"	"publieur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:35:48"	"TRUE"	"vieux"
12709	"retrouver"	20430	"-er"	"retrouvailles"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:36:21"	"TRUE"	
10329	"obtenir"	20370	"-er"	"obtention"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
14650	"travailler"	20171	"-er"	"travail"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 17:09:25"	"TRUE"	
14651	"travailler"	20171	"-er"	"travailleur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:36:51"	"TRUE"	
3000017	"découvrir"	19730	"-er"	"découverte"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 15:40:00"	"TRUE"	
4152	"découvrir"	19730	"-er"	"découvrement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
665	"appeler"	19372	"-er"	"appel"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:37:04"	"TRUE"	
666	"appeler"	19372	"-er"	"appellation"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:37:18"	"TRUE"	
9089	"jouer"	19067	"-er"	"jeu"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:37:34"	"TRUE"	
9090	"jouer"	19067	"-er"	"joueur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:38:17"	"TRUE"	
3025	"commencer"	18636	"-er"	"commencement"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3000035	"montrer"	18587	"-er"	"monstration"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 16:32:19"	"TRUE"	
9995	"montrer"	18587	"-er"	"montre"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
9996	"montrer"	18587	"-er"	"montreur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:39:16"	"TRUE"	
12598	"représenter"	18556	"-er"	"représentation"	"TRUE"	7285	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
11416	"poster"	18143	"-er"	"postage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11415	"poster"	18143	"-er"	"poste"	"FALSE"	8761	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
11417	"poster"	18143	"-er"	"posteur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:40:37"	"TRUE"	
11406	"poser"	18047	"-er"	"posage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11403	"poser"	18047	"-er"	"pose"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11404	"poser"	18047	"-er"	"poseur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:41:30"	"TRUE"	
5524	"effectuer"	17886	"-er"	"effectuation"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
10687	"participer"	17136	"-er"	"participation"	"TRUE"	9413	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
10465	"ouvrir"	16529	"-er"	"ouvroir"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:42:13"	"TRUE"	"cf. OULIPO"
2614	"chercher"	16371	"-er"	"chercheur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:42:27"	"TRUE"	
685	"apporter"	16368	"-er"	"apportage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:43:20"	"TRUE"	"vieilli"
13624	"situer"	16300	"-er"	"situation"	"TRUE"	23412	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:43:37"	"TRUE"	
9316	"lier"	16271	"-er"	"liage"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:44:06"	"TRUE"	
