"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
"3000011"	"charger"	"14985"	"-er"	"chargement"	"21146"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:58:12"	"TRUE"	
"4265"	"définir"	"14924"	"-ir"	"définition"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:30"	"TRUE"	
"4042"	"décider"	"14705"	"-er"	"décideur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:50:57"	"TRUE"	
"4043"	"décider"	"14705"	"-er"	"décision"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:11"	"TRUE"	
"2506"	"changer"	"14634"	"-er"	"change"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"3000009"	"changer"	"14634"	"-er"	"changement"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:55:51"	"TRUE"	
"9179"	"lancer"	"14392"	"-er"	"lancement"	"3463"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"9180"	"lancer"	"14392"	"-er"	"lancée"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"9181"	"lancer"	"14392"	"-er"	"lancer"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:46"	"TRUE"	
"9182"	"lancer"	"14392"	"-er"	"lance"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"9183"	"lancer"	"14392"	"-er"	"lanceur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:54"	"TRUE"	
"9938"	"modifier"	"14162"	"-er"	"modifieur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:10"	"TRUE"	
"9939"	"modifier"	"14162"	"-er"	"modificateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:19"	"TRUE"	
"3000034"	"modifier"	"14162"	"-er"	"modification"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 16:31:27"	"TRUE"	
