#ID#	#ENTRY#	#ENTRY_POS#	#PARENT#	#PARENT_POS#	#ENTRY_SEM#	#PARENT_SEM#
85	#atonal#	#ADJ#	#atonalité#	#N#	#propriété#	#PROPRIETE / MERO6#
86	#atonique#	#ADJ#	#atonicité#	#N#	#propriété#	#PROPRIETE / MERO6#
87	#atroce#	#ADJ#	#atrocité#	#N#	#physique / attitude / évaluatif#	#PROPRIETE / ATTITUDE / OCCURRENCE#
88	#attaquable#	#ADJ#	#attaquabilité#	#N#	#propriété#	#PROPRIETE#
89	#audible#	#ADJ#	#audibilité#	#N#	#propriété#	#PROPRIETE / MESURE#
90	#austère#	#ADJ#	#austérité#	#N#	#attitude / évaluatif#	#PROPRIETE / ATTITUDE / PERIODE#
91	#authentique#	#ADJ#	#authenticité#	#N#	#propriété#	#PROPRIETE#
92	#autogène#	#ADJ#	#autogénéité#	#N#	#propriété#	#PROPRIETE#
93	#automatique#	#ADJ#	#automaticité#	#N#	#propriété#	#PROPRIETE#
94	#avide#	#ADJ#	#avidité#	#N#	#attitude#	#ATTITUDE / OCCURRENCE#
95	#banal#	#ADJ#	#banalité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE#
96	#basique#	#ADJ#	#basicité#	#N#	#RELATIONNEL#	#PROPRIETE / MESURE#
97	#belliqueux#	#ADJ#	#bellicosité#	#N#	#attitude#	#PROPRIETE / ATTITUDE#
98	#bestial#	#ADJ#	#bestialité#	#N#	#propriété / attitude#	#PROPRIETE / ATTITUDE / OCCURRENCE#
99	#bilatéral#	#ADJ#	#bilatéralité#	#N#	#propriété / RELATIONNEL#	#QUANTIFICATION#
100	#binaire#	#ADJ#	#binarité#	#N#	#RELATIONNEL#	#PROPRIETE#
101	#biodégradable#	#ADJ#	#biodégradabilité#	#N#	#propriété#	#PROPRIETE#
102	#bipolaire#	#ADJ#	#bipolarité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / QUANTIFICATION#
103	#bisannuel#	#ADJ#	#bisannualité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / QUANTIFICATION#
104	#bisexuel#	#ADJ#	#bisexualité#	#N#	#propriété#	#PROPRIETE#
105	#bitonal#	#ADJ#	#bitonalité#	#N#	#propriété#	#QUANTIFICATION#
106	#bleu#	#ADJ#	#bleuité#	#N#	#couleur#	#COULEUR / OCCURRENCE#
107	#brevetable#	#ADJ#	#brevetabilité#	#N#	#propriété#	#PROPRIETE#
108	#britannique#	#ADJ#	#britannicité#	#N#	#ethnique #	#PROPRIETE / APPARTENANCE#
109	#broyable#	#ADJ#	#broyabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
110	#brutal#	#ADJ#	#brutalité#	#N#	#propriété#	#PROPRIETE / ATTITUDE / OCCURRENCE#
111	#bref#	#ADJ#	#brévité#	#N#	#physique#	#PROPRIETE / MESURE#
112	#bénin#	#ADJ#	#bénignité#	#N#	#évaluatif#	#PROPRIETE#
113	#caduc#	#ADJ#	#caducité#	#N#	#propriété#	#PROPRIETE#
114	#calculable#	#ADJ#	#calculabilité#	#N#	#propriété#	#PROPRIETE#
115	#calleux#	#ADJ#	#callosité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE / OBJET CONCRET#
116	#canonique#	#ADJ#	#canonicité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO2#
117	#capillaire#	#ADJ#	#capillarité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / MERO1 / RELATION#
118	#captatif#	#ADJ#	#captativité#	#N#	#propriété#	#PERIODE#
119	#captif#	#ADJ#	#captivité#	#N#	#propriété#	#PROPRIETE / PERIODE#
120	#casuel#	#ADJ#	#casualité#	#N#	#propriété#	#PROPRIETE / MERO4#
121	#catholique#	#ADJ#	#catholicité#	#N#	#idéologique#	#PROPRIETE / APPARTENANCE / LIEU / RELATION#
122	#catégorique#	#ADJ#	#catégoricité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
123	#causal#	#ADJ#	#causalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / RELATION#
124	#caustique#	#ADJ#	#causticité#	#N#	#propriété#	#PROPRIETE / ATTITUDE / OCCURRENCE#
125	#caverneux#	#ADJ#	#cavernosité#	#N#	#RELATIONNEL#	#PROPRIETE / MERO4 / RELATION#
126	#central#	#ADJ#	#centralité#	#N#	#propriété#	#PROPRIETE / MERO3 / RELATION#
127	#cessible#	#ADJ#	#cessibilité#	#N#	#propriété#	#PROPRIETE#
128	#charnel#	#ADJ#	#charnalité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / OCCURRENCE / RELATION#
129	#chromatique#	#ADJ#	#chromaticité#	#N#	#RELATIONNEL#	#PROPRIETE /MESURE / RELATION#
130	#chronique#	#ADJ#	#chronicité#	#N#	#RELATIONNEL#	#PROPRIETE / RELATION#
131	#chétif#	#ADJ#	#chétivité#	#N#	#physique / attitude#	#PROPRIETE#
132	#circulable#	#ADJ#	#circulabilité#	#N#	#physique#	#PROPRIETE#
133	#circulaire#	#ADJ#	#circularité#	#N#	#propriété#	#PROPRIETE / MESURE / MERO3#
134	#civil#	#ADJ#	#civilité#	#N#	#propriété#	#PROPRIETE / OCCURRENCE#
135	#clandestin#	#ADJ#	#clandestinité#	#N#	#identité#	#PROPRIETE#
136	#coagulable#	#ADJ#	#coagulabilité#	#N#	#propriété#	#PROPRIETE / MESURE#
137	#coercible#	#ADJ#	#coercibilité#	#N#	#propriété#	#PROPRIETE / MESURE#
138	#coercitif#	#ADJ#	#coercitivité#	#N#	#propriété#	#PROPRIETE / MESURE#
139	#coessentiel#	#ADJ#	#coessentialité#	#N#	#propriété#	#PROPRIETE / MEROCO#
140	#cognoscible#	#ADJ#	#cognoscibilité#	#N#	#propriété#	#PROPRIETE#
141	#collatéral#	#ADJ#	#collatéralité#	#N#	#propriété#	#PROPRIETE#
142	#collectif#	#ADJ#	#collectivité#	#N#	#propriété#	#PROPRIETE / RELATION#
143	#colloïde#	#ADJ#	#colloïdité#	#N#	#propriété#	#PROPRIETE#
144	#collégial#	#ADJ#	#collégialité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / MERO3 / RELATION#
145	#combatif#	#ADJ#	#combativité#	#N#	#propriété#	#PROPRIETE#
146	#combustible#	#ADJ#	#combustibilité#	#N#	#propriété#	#PROPRIETE / MESURE#
147	#comestible#	#ADJ#	#comestibilité#	#N#	#propriété#	#PROPRIETE#
148	#commensurable#	#ADJ#	#commensurabilité#	#N#	#propriété#	#PROPRIETE#
149	#commercial#	#ADJ#	#commercialité#	#N#	#propriété / RELATIONNEL#	#PROPRIETE / RELATION#
150	#commode#	#ADJ#	#commodité#	#N#	#évaluatif#	#PROPRIETE / OCCURRENCE / LIEU / OBJET CONCRET#
151	#communicable#	#ADJ#	#communicabilité#	#N#	#propriété#	#PROPRIETE#
